ID,FECHA,AÑO,MES,DIA,HORA,COMUNA,LONGITUD,LATITUD,TIPO_CALLE,ACUSADO,VICTIMA,CANT_VICTIMA
2017-0025,2017-02-24,2017,2,24,17,7,-58.43614426,-34.65424640,AVENIDA,SD,MOTO,1
2017-0026,2017-02-26,2017,2,26,5,4,-58.41842777,-34.64979057,AVENIDA,OBJETO FIJO,AUTO,2
2017-0026,2017-02-26,2017,2,26,5,4,-58.41842777,-34.64979057,AVENIDA,OBJETO FIJO,AUTO,2
2017-0027,2017-02-26,2017,2,26,21,1,-58.38332245,-34.63193250,AVENIDA,AUTO,PEATON,1
2017-0028,2017-02-28,2017,2,28,9,6,-58.45475488,-34.61196327,AVENIDA,AUTO,PEATON,1
2017-0029,2017-03-07,2017,3,7,2,9,-58.48501341,-34.64742455,CALLE,AUTO,SD,1
2017-0030,2017-03-07,2017,3,7,8,9,-58.47010988,-34.65872088,AVENIDA,PASAJEROS,AUTO,1
2017-0031,2017-03-11,2017,3,11,1,3,-58.40997560,-34.62873635,CALLE,OBJETO FIJO,AUTO,1
2017-0032,2017-03-12,2017,3,12,5,8,-58.48892175,-34.68359163,GRAL PAZ,AUTO,AUTO,1
2017-0033,2017-03-12,2017,3,12,7,11,-58.52466448,-34.60325478,GRAL PAZ,AUTO,AUTO,1
2017-0034,2017-03-13,2017,3,13,7,14,-58.42554218,-34.57929036,CALLE,AUTO,PEATON,1
2017-0035,2017-03-23,2017,3,23,5,1,-58.35881506,-34.61113641,AVENIDA,OBJETO FIJO,AUTO,3
2017-0035,2017-03-23,2017,3,23,5,1,-58.35881506,-34.61113641,AVENIDA,OBJETO FIJO,AUTO,3
2017-0035,2017-03-23,2017,3,23,5,1,-58.35881506,-34.61113641,AVENIDA,OBJETO FIJO,AUTO,3
2017-0036,2017-03-29,2017,3,29,18,12,-58.51452347,-34.58159762,GRAL PAZ,PASAJEROS,MOTO,2
2017-0036,2017-03-29,2017,3,29,18,12,-58.51452347,-34.58159762,GRAL PAZ,PASAJEROS,MOTO,2
2017-0037,2017-03-31,2017,3,31,3,1,-58.38896772,-34.61799615,AVENIDA,CARGAS,MOTO,1
2017-0038,2017-04-01,2017,4,1,19,7,-58.44516857,-34.64363363,AVENIDA,AUTO,MOTO,1
2017-0040,2017-04-03,2017,4,3,9,13,-58.43834197,-34.54560369,AVENIDA,MULTIPLE,AUTO,1
2017-0041,2017-04-03,2017,4,3,23,7,-58.45485084,-34.63531854,CALLE,AUTO,MOTO,1
2017-0042,2017-04-10,2017,4,10,9,14,.,.,GRAL PAZ,CARGAS,MOTO,1
2017-0045,2017-04-14,2017,4,14,6,10,-58.52449285,-34.62454175,CALLE,OBJETO FIJO,MOTO,1
2017-0047,2017-04-23,2017,4,23,6,8,-58.46713742,-34.67198790,AVENIDA,AUTO,MOTO,1
2017-0049,2017-04-27,2017,4,27,18,8,-58.43850413,-34.65554754,AVENIDA,PASAJEROS,PEATON,1
2017-0050,2017-04-28,2017,4,28,11,9,.,.,AUTOPISTA,CARGAS,MOTO,2
2017-0050,2017-04-28,2017,4,28,11,9,.,.,AUTOPISTA,CARGAS,MOTO,2
2017-0051,2017-05-01,2017,5,1,3,7,.,.,AUTOPISTA,AUTO,AUTO,1
2017-0052,2017-05-05,2017,5,5,3,8,-58.49413799,-34.68095739,GRAL PAZ,CARGAS,PEATON,1
2017-0053,2017-05-05,2017,5,5,20,4,-58.37547846,-34.65326075,CALLE,CARGAS,MOTO,1
2017-0054,2017-05-07,2017,5,7,21,15,-58.48680218,-34.58689719,AVENIDA,AUTO,MOTO,1
2017-0055,2017-05-09,2017,5,9,8,12,-58.49563989,-34.57962262,AVENIDA,AUTO,AUTO,1
2017-0058,2017-05-09,2017,5,9,23,1,-58.38403232,-34.59915940,AVENIDA,MOTO,PEATON,1
2017-0059,2017-05-11,2017,5,11,9,1,-58.38223382,-34.62693865,CALLE,PASAJEROS,PEATON,1
2017-0060,2017-05-13,2017,5,13,7,8,-58.45966521,-34.67323292,AVENIDA,OBJETO FIJO,MOTO,1
2017-0061,2017-05-15,2017,5,15,13,2,-58.39303911,-34.59871111,AVENIDA,MOTO,PEATON,1
2017-0062,2017-05-15,2017,5,15,16,10,-58.51262106,-34.63395999,AVENIDA,CARGAS,MOTO,1
2017-0063,2017-05-17,2017,5,17,10,1,-58.38118367,-34.61646839,AVENIDA,PASAJEROS,PEATON,1
2017-0064,2017-05-20,2017,5,20,5,1,-58.37653284,-34.60582475,CALLE,AUTO,CARGAS,1
2017-0065,2017-05-22,2017,5,22,16,4,-58.37709334,-34.64035082,AVENIDA,CARGAS,BICICLETA,1
2017-0066,2017-05-22,2017,5,22,18,15,-58.46002142,-34.60409469,AVENIDA,PASAJEROS,PEATON,1
2017-0067,2017-05-23,2017,5,23,2,6,-58.43381970,-34.62801894,AVENIDA,CARGAS,MOTO,1
2017-0068,2017-05-27,2017,5,27,19,8,-58.43580656,-34.66437532,AVENIDA,OBJETO FIJO,MOTO,1
2017-0069,2017-05-24,2017,5,24,14,9,-58.52173071,-34.65997463,GRAL PAZ,SD,MOTO,1
2017-0070,2017-05-30,2017,5,30,13,11,-58.50791763,-34.59804273,CALLE,AUTO,PEATON,1
2017-0072,2017-06-03,2017,6,3,23,12,-58.49175088,-34.58226957,AVENIDA,AUTO,AUTO,1
2017-0073,2017-06-04,2017,6,4,9,3,-58.40781467,-34.60425669,AVENIDA,AUTO,MOTO,1
2017-0074,2017-06-04,2017,6,4,12,9,-58.52567073,-34.63787791,CALLE,SD,SD,1
2017-0075,2017-06-12,2017,6,12,22,1,-58.38154200,-34.60906385,AVENIDA,MOTO,PEATON,1
2017-0076,2017-06-13,2017,6,13,14,2,-58.38526125,-34.57805810,AVENIDA,CARGAS,PEATON,1
2017-0077,2017-06-17,2017,6,17,23,14,-58.42934104,-34.58451712,CALLE,CARGAS,MOTO,1
2017-0079,2017-06-19,2017,6,19,16,3,-58.40657493,-34.61781124,CALLE,CARGAS,MOTO,1
2017-0080,2017-06-22,2017,6,22,10,9,-58.49525314,-34.64487785,AVENIDA,CARGAS,PEATON,1
2017-0082,2017-06-25,2017,6,25,22,4,-58.39092851,-34.62932696,AVENIDA,AUTO,PEATON,1
2017-0083,2017-07-04,2017,7,4,0,9,-58.49603546,-34.64564271,AVENIDA,CARGAS,MOTO,1
2017-0084,2017-07-05,2017,7,5,12,2,-58.38502878,-34.58703485,AVENIDA,PASAJEROS,PEATON,1
2017-0085,2017-07-07,2017,7,7,14,4,-58.37261143,-34.63150425,AVENIDA,PASAJEROS,PEATON,1
2017-0086,2017-07-09,2017,7,9,7,9,-58.51876802,-34.63905965,AVENIDA,MOTO,PEATON,1
2017-0087,2017-07-10,2017,7,10,10,3,-58.41095567,-34.61516101,CALLE,AUTO,PEATON,1
2017-0088,2017-07-10,2017,7,10,22,1,-58.36797542,-34.62519403,AVENIDA,PASAJEROS,PEATON,1
2017-0089,2017-07-13,2017,7,13,12,9,-58.51514709,-34.64787051,CALLE,AUTO,SD,1
2017-0090,2017-07-15,2017,7,15,5,11,-58.51925642,-34.59171721,GRAL PAZ,AUTO,PEATON,1
2017-0091,2017-07-15,2017,7,15,13,12,-58.48671535,-34.54321216,GRAL PAZ,SD,MOTO,1
2017-0092,2017-07-24,2017,7,24,22,1,-58.38268809,-34.62282019,AUTOPISTA,AUTO,PEATON,1
2017-0093,2017-07-25,2017,7,25,16,13,-58.43633522,-34.54966288,AUTOPISTA,AUTO,PEATON,1
2017-0094,2017-07-27,2017,7,27,8,10,-58.52640838,-34.61765855,CALLE,CARGAS,BICICLETA,1
2017-0095,2017-08-06,2017,8,6,8,14,-58.41894306,-34.59778875,AVENIDA,AUTO,MOTO,1
2017-0096,2017-08-07,2017,8,7,19,13,-58.46756026,-34.54972741,AVENIDA,PASAJEROS,PEATON,1
2017-0098,2017-08-08,2017,8,8,12,7,-58.45715752,-34.63132912,CALLE,AUTO,PEATON,1
2017-0099,2017-08-17,2017,8,17,19,14,-58.42406784,-34.56213916,AVENIDA,AUTO,BICICLETA,1
2017-0100,2017-08-21,2017,8,21,7,3,-58.39674470,-34.61512051,CALLE,OBJETO FIJO,MOTO,1
2017-0101,2017-08-23,2017,8,23,10,13,-58.44537508,-34.57084818,AVENIDA,MULTIPLE,PEATON,1
2017-0102,2017-08-24,2017,8,24,1,4,-58.40056767,-34.65107080,AVENIDA,CARGAS,PEATON,1
2017-0104,2017-08-25,2017,8,25,9,1,-58.38109568,-34.61853244,AVENIDA,CARGAS,PEATON,1
2017-0106,2017-08-31,2017,8,31,19,14,-58.42533612,-34.58035258,CALLE,PASAJEROS,PEATON,1
2017-0107,2017-09-01,2017,9,1,11,13,-58.46062311,-34.54395182,AVENIDA,CARGAS,MOTO,1
2017-0108,2017-09-02,2017,9,2,4,12,-58.49491054,-34.54795581,GRAL PAZ,AUTO,AUTO,2
